Freq.	V(vo)/V(vi)
1.28824955169313e+003	3.10843966406509e+001,-5.19262765189140e-002
1.29121927361353e+003	3.10843962626982e+001,-5.20459783538872e-002
1.29419584144998e+003	3.10843958829914e+001,-5.21659561259330e-002
1.29717927098395e+003	3.10843955015454e+001,-5.22862104711998e-002
1.30016957803328e+003	3.10843951183056e+001,-5.24067420270718e-002
1.30316677845229e+003	3.10843947333456e+001,-5.25275514328265e-002
1.30617088813183e+003	3.10843943465642e+001,-5.26486393286361e-002
1.30918192299940e+003	3.10843939580338e+001,-5.27700063567266e-002
1.31219989901920e+003	3.10843935676764e+001,-5.28916531603024e-002
1.31522483219223e+003	3.10843931755426e+001,-5.30135803844777e-002
1.31825673855640e+003	3.10843927815767e+001,-5.31357886755448e-002
1.32129563418657e+003	3.10843923857830e+001,-5.32582786813536e-002
1.32434153519466e+003	3.10843919881873e+001,-5.33810510514525e-002
1.32739445772973e+003	3.10843915887339e+001,-5.35041064365698e-002
1.33045441797808e+003	3.10843911874621e+001,-5.36274454892510e-002
1.33352143216332e+003	3.10843907843512e+001,-5.37510688633459e-002
1.33659551654643e+003	3.10843903793461e+001,-5.38749772140937e-002
1.33967668742593e+003	3.10843899724961e+001,-5.39991711985993e-002
1.34276496113786e+003	3.10843895637697e+001,-5.41236514752062e-002
1.34586035405594e+003	3.10843891531337e+001,-5.42484187037723e-002
1.34896288259165e+003	3.10843887406039e+001,-5.43734735458394e-002
1.35207256319427e+003	3.10843883261833e+001,-5.44988166644325e-002
1.35518941235103e+003	3.10843879098622e+001,-5.46244487240638e-002
1.35831344658715e+003	3.10843874916085e+001,-5.47503703906986e-002
1.36144468246594e+003	3.10843870714019e+001,-5.48765823318760e-002
1.36458313658892e+003	3.10843866492808e+001,-5.50030852168776e-002
1.36772882559584e+003	3.10843862251998e+001,-5.51298797162407e-002
1.37088176616484e+003	3.10843857991738e+001,-5.52569665022538e-002
1.37404197501251e+003	3.10843853711587e+001,-5.53843462485515e-002
1.37720946889394e+003	3.10843849411922e+001,-5.55120196306057e-002
1.38038426460288e+003	3.10843845092070e+001,-5.56399873250779e-002
1.38356637897177e+003	3.10843840752752e+001,-5.57682500106799e-002
1.38675582887188e+003	3.10843836393057e+001,-5.58968083671137e-002
1.38995263121334e+003	3.10843832013360e+001,-5.60256630761004e-002
1.39315680294529e+003	3.10843827613573e+001,-5.61548148207683e-002
1.39636836105593e+003	3.10843823193250e+001,-5.62842642856952e-002
1.39958732257261e+003	3.10843818752284e+001,-5.64140121572054e-002
1.40281370456195e+003	3.10843814291303e+001,-5.65440591233205e-002
1.40604752412990e+003	3.10843809809719e+001,-5.66744058733649e-002
1.40928879842186e+003	3.10843805307229e+001,-5.68050530982952e-002
1.41253754462274e+003	3.10843800784192e+001,-5.69360014909056e-002
1.41579377995707e+003	3.10843796240036e+001,-5.70672517452535e-002
1.41905752168908e+003	3.10843791674916e+001,-5.71988045572506e-002
1.42232878712281e+003	3.10843787088955e+001,-5.73306606244092e-002
1.42560759360218e+003	3.10843782481469e+001,-5.74628206455551e-002
1.42889395851109e+003	3.10843777853073e+001,-5.75952853215915e-002
1.43218789927353e+003	3.10843773203068e+001,-5.77280553545676e-002
1.43548943335364e+003	3.10843768531489e+001,-5.78611314484575e-002
1.43879857825583e+003	3.10843763808579e+001,-5.79945143039634e-002
1.44211535152486e+003	3.10843759093999e+001,-5.81282046378327e-002
1.44543977074592e+003	3.10843754357659e+001,-5.82622031540042e-002
1.44877185354475e+003	3.10843749599219e+001,-5.83965105627854e-002
1.45211161758773e+003	3.10843744819161e+001,-5.85311275764214e-002
1.45545908058195e+003	3.10843740016914e+001,-5.86660549084121e-002
1.45881426027534e+003	3.10843735192494e+001,-5.88012932741182e-002
1.46217717445671e+003	3.10843730345809e+001,-5.89368433905064e-002
1.46554784095590e+003	3.10843725476737e+001,-5.90727059761920e-002
1.46892627764385e+003	3.10843720585181e+001,-5.92088817514508e-002
1.47231250243271e+003	3.10843715671163e+001,-5.93453714382621e-002
1.47570653327588e+003	3.10843710734443e+001,-5.94821757601782e-002
1.47910838816819e+003	3.10843705774700e+001,-5.96192954423801e-002
1.48251808514594e+003	3.10843700792288e+001,-5.97567312119801e-002
1.48593564228699e+003	3.10843695786869e+001,-5.98944837975532e-002
1.48936107771090e+003	3.10843690757976e+001,-6.00325539291600e-002
1.49279440957898e+003	3.10843685706334e+001,-6.01709423391364e-002
1.49623565609442e+003	3.10843680631250e+001,-6.03096497609242e-002
1.49968483550236e+003	3.10843675532838e+001,-6.04486769299648e-002
1.50314196609001e+003	3.10843670410765e+001,-6.05880245832189e-002
1.50660706618673e+003	3.10843665264914e+001,-6.07276934594327e-002
1.51008015416413e+003	3.10843660095296e+001,-6.08676842991516e-002
1.51356124843619e+003	3.10843654901920e+001,-6.10079978444776e-002
1.51705036745932e+003	3.10843649684679e+001,-6.11486348393286e-002
1.52054752973248e+003	3.10843644443450e+001,-6.12895960292850e-002
1.52405275379728e+003	3.10843639177778e+001,-6.14308821615129e-002
1.52756605823806e+003	3.10843633888025e+001,-6.15724939852162e-002
1.53108746168201e+003	3.10843628573708e+001,-6.17144322510054e-002
1.53461698279928e+003	3.10843623234967e+001,-6.18566977114535e-002
1.53815464030302e+003	3.10843617871445e+001,-6.19992911206820e-002
1.54170045294954e+003	3.10843612482912e+001,-6.21422132346467e-002
1.54525443953840e+003	3.10843607069835e+001,-6.22854648111694e-002
1.54881661891247e+003	3.10843601631876e+001,-6.24290466096516e-002
1.55238700995807e+003	3.10843596168793e+001,-6.25729593912371e-002
1.55596563160506e+003	3.10843590680458e+001,-6.27172039188692e-002
1.55955250282694e+003	3.10843585166773e+001,-6.28617809572547e-002
1.56314764264094e+003	3.10843579627501e+001,-6.30066912728133e-002
1.56675107010813e+003	3.10843574062750e+001,-6.31519356338682e-002
1.57036280433354e+003	3.10843568472047e+001,-6.32975148103352e-002
1.57398286446620e+003	3.10843562855992e+001,-6.34434295741710e-002
1.57761126969933e+003	3.10843557213628e+001,-6.35896806986544e-002
1.58124803927037e+003	3.10843551545557e+001,-6.37362689594092e-002
1.58489319246110e+003	3.10843545851166e+001,-6.38831951333706e-002
1.58854674859776e+003	3.10843540130705e+001,-6.40304599996010e-002
1.59220872705115e+003	3.10843534383569e+001,-6.41780643386224e-002
1.59587914723672e+003	3.10843528609995e+001,-6.43260089330897e-002
1.59955802861465e+003	3.10843522809855e+001,-6.44742945673184e-002
1.60324539069002e+003	3.10843516982910e+001,-6.46229220273851e-002
1.60694125301286e+003	3.10843511128807e+001,-6.47718921011300e-002
1.61064563517825e+003	3.10843505248123e+001,-6.49212055785910e-002
1.61435855682647e+003	3.10843499340133e+001,-6.50708632510991e-002
1.61808003764305e+003	3.10843493404611e+001,-6.52208659120036e-002
1.62181009735891e+003	3.10843487442005e+001,-6.53712143567682e-002
1.62554875575047e+003	3.10843481451726e+001,-6.55219093822587e-002
1.62929603263970e+003	3.10843475433873e+001,-6.56729517874642e-002
1.63305194789432e+003	3.10843469388219e+001,-6.58243423730753e-002
1.63681652142779e+003	3.10843463314845e+001,-6.59760819417661e-002
1.64058977319952e+003	3.10843457212813e+001,-6.61281712976833e-002
1.64437172321491e+003	3.10843451083165e+001,-6.62806112474898e-002
1.64816239152549e+003	3.10843444924951e+001,-6.64334025990415e-002
1.65196179822900e+003	3.10843438738505e+001,-6.65865461625390e-002
1.65576996346951e+003	3.10843432523578e+001,-6.67400427498069e-002
1.65958690743754e+003	3.10843426279689e+001,-6.68938931744405e-002
1.66341265037015e+003	3.10843420007291e+001,-6.70480982523061e-002
1.66724721255104e+003	3.10843413705773e+001,-6.72026588007033e-002
1.67109061431069e+003	3.10843407375363e+001,-6.73575756391657e-002
1.67494287602642e+003	3.10843401015454e+001,-6.75128495887652e-002
1.67880401812254e+003	3.10843394626258e+001,-6.76684814728147e-002
1.68267406107045e+003	3.10843388207760e+001,-6.78244721164257e-002
1.68655302538872e+003	3.10843381759352e+001,-6.79808223463618e-002
1.69044093164324e+003	3.10843375281253e+001,-6.81375329916415e-002
1.69433780044731e+003	3.10843368773313e+001,-6.82946048830425e-002
1.69824365246172e+003	3.10843362235406e+001,-6.84520388532610e-002
1.70215850839493e+003	3.10843355667509e+001,-6.86098357369602e-002
1.70608238900310e+003	3.10843349068767e+001,-6.87679963703714e-002
1.71001531509027e+003	3.10843342439755e+001,-6.89265215923205e-002
1.71395730750840e+003	3.10843335780097e+001,-6.90854122429903e-002
1.71790838715757e+003	3.10843329089869e+001,-6.92446691648699e-002
1.72186857498598e+003	3.10843322368715e+001,-6.94042932021363e-002
1.72583789199018e+003	3.10843315616480e+001,-6.95642852010076e-002
1.72981635921508e+003	3.10843308833253e+001,-6.97246460097576e-002
1.73380399775412e+003	3.10843302018544e+001,-6.98853764783589e-002
1.73780082874935e+003	3.10843295172448e+001,-7.00464774590005e-002
1.74180687339159e+003	3.10843288294682e+001,-7.02079498056763e-002
1.74582215292048e+003	3.10843281385355e+001,-7.03697943745106e-002
1.74984668862463e+003	3.10843274444187e+001,-7.05320120234392e-002
1.75388050184174e+003	3.10843267470566e+001,-7.06946036122220e-002
1.75792361395867e+003	3.10843260465161e+001,-7.08575700031723e-002
1.76197604641161e+003	3.10843253427246e+001,-7.10209120599671e-002
1.76603782068614e+003	3.10843246356907e+001,-7.11846306486379e-002
1.77010895831740e+003	3.10843239253851e+001,-7.13487266370504e-002
1.77418948089014e+003	3.10843232117952e+001,-7.15132008951901e-002
1.77827941003890e+003	3.10843224948937e+001,-7.16780542948146e-002
1.78237876744807e+003	3.10843217746993e+001,-7.18432877101338e-002
1.78648757485203e+003	3.10843210511975e+001,-7.20089020169840e-002
1.79060585403527e+003	3.10843203243381e+001,-7.21748980932353e-002
1.79473362683250e+003	3.10843195941518e+001,-7.23412768190927e-002
1.79887091512876e+003	3.10843188605766e+001,-7.25080390763662e-002
1.80301774085954e+003	3.10843181236195e+001,-7.26751857492142e-002
1.80717412601090e+003	3.10843173832534e+001,-7.28427177236761e-002
1.81134009261958e+003	3.10843166394869e+001,-7.30106358879948e-002
1.81551566277311e+003	3.10843158922558e+001,-7.31789411321325e-002
1.81970085860996e+003	3.10843151416155e+001,-7.33476343486473e-002
1.82389570231961e+003	3.10843143874672e+001,-7.35167164315079e-002
1.82810021614272e+003	3.10843136298777e+001,-7.36861882773242e-002
1.83231442237119e+003	3.10843128687600e+001,-7.38560507842447e-002
1.83653834334832e+003	3.10843121041683e+001,-7.40263048530816e-002
1.84077200146893e+003	3.10843113360158e+001,-7.41969513860688e-002
1.84501541917945e+003	3.10843105643341e+001,-7.43679912880679e-002
1.84926861897805e+003	3.10843097890461e+001,-7.45394254655261e-002
1.85353162341478e+003	3.10843090102427e+001,-7.47112548277573e-002
1.85780445509167e+003	3.10843082278120e+001,-7.48834802852283e-002
1.86208713666284e+003	3.10843074417622e+001,-7.50561027510609e-002
1.86637969083464e+003	3.10843066521109e+001,-7.52291231405332e-002
1.87068214036577e+003	3.10843058587937e+001,-7.54025423706447e-002
1.87499450806739e+003	3.10843050618298e+001,-7.55763613608995e-002
1.87931681680324e+003	3.10843042611782e+001,-7.57505810326404e-002
1.88364908948977e+003	3.10843034568348e+001,-7.59252023095033e-002
1.88799134909627e+003	3.10843026487575e+001,-7.61002261171430e-002
1.89234361864495e+003	3.10843018369527e+001,-7.62756533833871e-002
1.89670592121112e+003	3.10843010214158e+001,-7.64514850383343e-002
1.90107827992327e+003	3.10843002021289e+001,-7.66277220141059e-002
1.90546071796322e+003	3.10842993790506e+001,-7.68043652448578e-002
1.90985325856621e+003	3.10842985521644e+001,-7.69814156670782e-002
1.91425592502106e+003	3.10842977214513e+001,-7.71588742192185e-002
1.91866874067026e+003	3.10842968869305e+001,-7.73367418422599e-002
1.92309172891013e+003	3.10842960485349e+001,-7.75150194788817e-002
1.92752491319091e+003	3.10842952062844e+001,-7.76937080743451e-002
1.93196831701689e+003	3.10842943541227e+001,-7.78728085627555e-002
1.93642196394658e+003	3.10842935040939e+001,-7.80523219197819e-002
1.94088587759275e+003	3.10842926501075e+001,-7.82322490837599e-002
1.94536008162263e+003	3.10842917922163e+001,-7.84125910088627e-002
1.94984459975802e+003	3.10842909303555e+001,-7.85933486508868e-002
1.95433945577536e+003	3.10842900644936e+001,-7.87745229679985e-002
1.95884467350596e+003	3.10842891946478e+001,-7.89561149208104e-002
1.96336027683602e+003	3.10842883208005e+001,-7.91381254719735e-002
1.96788628970681e+003	3.10842874428625e+001,-7.93205555860705e-002
1.97242273611482e+003	3.10842865609188e+001,-7.95034062305864e-002
1.97696964011183e+003	3.10842856748946e+001,-7.96866783746190e-002
1.98152702580507e+003	3.10842847847924e+001,-7.98703729898360e-002
1.98609491735734e+003	3.10842838905948e+001,-8.00544910500349e-002
1.99067333898715e+003	3.10842829922459e+001,-8.02390335310728e-002
1.99526231496885e+003	3.10842820897511e+001,-8.04240014113561e-002
1.99986186963271e+003	3.10842811830914e+001,-8.06093956714267e-002
2.00447202736513e+003	3.10842802722584e+001,-8.07952172941434e-002
2.00909281260870e+003	3.10842793572214e+001,-8.09814672645137e-002
2.01372424986236e+003	3.10842784379481e+001,-8.11681465698118e-002
2.01836636368153e+003	3.10842775144090e+001,-8.13552561995917e-002
2.02301917867824e+003	3.10842765866299e+001,-8.15427971460484e-002
2.02768271952125e+003	3.10842756546044e+001,-8.17307704032912e-002
2.03235701093619e+003	3.10842747182395e+001,-8.19191769674880e-002
2.03704207770568e+003	3.10842737775407e+001,-8.21080178375273e-002
2.04173794466950e+003	3.10842728325353e+001,-8.22972940147190e-002
2.04644463672464e+003	3.10842718831545e+001,-8.24870065021911e-002
2.05116217882553e+003	3.10842709293795e+001,-8.26771563056316e-002
2.05589059598411e+003	3.10842699712128e+001,-8.28677444331645e-002
2.06062991326997e+003	3.10842690086218e+001,-8.30587718950534e-002
2.06538015581049e+003	3.10842680415982e+001,-8.32502397040152e-002
2.07014134879101e+003	3.10842670701103e+001,-8.34421488749787e-002
2.07491351745487e+003	3.10842660941129e+001,-8.36345004251444e-002
2.07969668710366e+003	3.10842651136087e+001,-8.38272953743758e-002
2.08449088309725e+003	3.10842641286006e+001,-8.40205347446810e-002
2.08929613085400e+003	3.10842631390565e+001,-8.42142195604445e-002
2.09411245585086e+003	3.10842621449066e+001,-8.44083508482210e-002
2.09893988362349e+003	3.10842611461785e+001,-8.46029296372259e-002
2.10377843976644e+003	3.10842601428503e+001,-8.47979569590024e-002
2.10862814993325e+003	3.10842591348999e+001,-8.49934338474008e-002
2.11348903983661e+003	3.10842581223067e+001,-8.51893613386570e-002
2.11836113524846e+003	3.10842571050128e+001,-8.53857404712016e-002
2.12324446200018e+003	3.10842560829862e+001,-8.55825722861287e-002
2.12813904598267e+003	3.10842550562862e+001,-8.57798578270111e-002
2.13304491314654e+003	3.10842540248567e+001,-8.59775981396212e-002
2.13796208950219e+003	3.10842529886749e+001,-8.61757942721856e-002
2.14289060112002e+003	3.10842519476949e+001,-8.63744472752202e-002
2.14783047413050e+003	3.10842509019070e+001,-8.65735582018552e-002
2.15278173472433e+003	3.10842498512878e+001,-8.67731281075799e-002
2.15774440915263e+003	3.10842487958522e+001,-8.69731580505148e-002
2.16271852372698e+003	3.10842477355175e+001,-8.71736490906983e-002
2.16770410481966e+003	3.10842466702965e+001,-8.73746022911277e-002
2.17270117886370e+003	3.10842456001542e+001,-8.75760187169928e-002
2.17770977235312e+003	3.10842445250336e+001,-8.77778994358813e-002
2.18272991184296e+003	3.10842434450055e+001,-8.79802455183373e-002
2.18776162394951e+003	3.10842423599760e+001,-8.81830580366778e-002
2.19280493535041e+003	3.10842412699449e+001,-8.83863380661393e-002
2.19785987278478e+003	3.10842401748671e+001,-8.85900866841793e-002
2.20292646305342e+003	3.10842390747532e+001,-8.87943049710588e-002
2.20800473301886e+003	3.10842379695565e+001,-8.89989940092040e-002
2.21309470960560e+003	3.10842368592541e+001,-8.92041548836675e-002
2.21819641980018e+003	3.10842357438333e+001,-8.94097886820651e-002
2.22330989065136e+003	3.10842346232468e+001,-8.96158964943215e-002
2.22843514927026e+003	3.10842334974940e+001,-8.98224794132120e-002
2.23357222283049e+003	3.10842323665523e+001,-9.00295385336791e-002
2.23872113856830e+003	3.10842312303960e+001,-9.02370749534041e-002
2.24388192378272e+003	3.10842300889663e+001,-9.04450897723276e-002
2.24905460583574e+003	3.10842289422980e+001,-9.06535840934589e-002
2.25423921215239e+003	3.10842277903422e+001,-9.08625590218779e-002
2.25943577022093e+003	3.10842266330514e+001,-9.10720156652149e-002
2.26464430759302e+003	3.10842254704006e+001,-9.12819551337826e-002
2.26986485188378e+003	3.10842243024243e+001,-9.14923785407929e-002
2.27509743077203e+003	3.10842231290034e+001,-9.17032870012938e-002
2.28034207200037e+003	3.10842219501950e+001,-9.19146816334648e-002
2.28559880337539e+003	3.10842207659502e+001,-9.21265635579055e-002
2.29086765276773e+003	3.10842195762680e+001,-9.23389338979198e-002
2.29614864811232e+003	3.10842183810281e+001,-9.25517937787155e-002
2.30144181740846e+003	3.10842171803464e+001,-9.27651443294599e-002
2.30674718872002e+003	3.10842159740922e+001,-9.29789866804891e-002
2.31206479017555e+003	3.10842147622506e+001,-9.31933219654232e-002
2.31739464996843e+003	3.10842135448080e+001,-9.34081513205738e-002
2.32273679635706e+003	3.10842123187606e+001,-9.36234758769049e-002
2.32809125766496e+003	3.10842110900845e+001,-9.38392967914941e-002
2.33345806228096e+003	3.10842098557292e+001,-9.40556152004555e-002
2.33883723865931e+003	3.10842086156801e+001,-9.42724322505330e-002
2.34422881531987e+003	3.10842073699098e+001,-9.44897490910411e-002
2.34963282084826e+003	3.10842061183814e+001,-9.47075668738786e-002
2.35504928389596e+003	3.10842048610792e+001,-9.49258867537326e-002
2.36047823318053e+003	3.10842035979293e+001,-9.51447098876809e-002
2.36591969748571e+003	3.10842023289994e+001,-9.53640374360769e-002
2.37137370566161e+003	3.10842010541915e+001,-9.55838705611948e-002
2.37684028662483e+003	3.10841997735482e+001,-9.58042104287552e-002
2.38231946935864e+003	3.10841984869506e+001,-9.60250582061818e-002
2.38781128291313e+003	3.10841971944032e+001,-9.62464150644314e-002
2.39331575640534e+003	3.10841958959041e+001,-9.64682821768664e-002
2.39883291901944e+003	3.10841945914134e+001,-9.66906607195683e-002
2.40436280000688e+003	3.10841932809264e+001,-9.69135518714652e-002
2.40990542868654e+003	3.10841919643571e+001,-9.71369568137037e-002
2.41546083444489e+003	3.10841906417245e+001,-9.73608767307927e-002
2.42102904673613e+003	3.10841893130109e+001,-9.75853128097550e-002
2.42661009508236e+003	3.10841879781187e+001,-9.78102662398495e-002
2.43220400907376e+003	3.10841866370777e+001,-9.80357382139433e-002
2.43781081836870e+003	3.10841852898591e+001,-9.82617299270527e-002
2.44343055269392e+003	3.10841839364109e+001,-9.84882425770441e-002
2.44906324184469e+003	3.10841825767278e+001,-9.87152773647527e-002
2.45470891568498e+003	3.10841812107576e+001,-9.89428354934900e-002
2.46036760414758e+003	3.10841798384825e+001,-9.91709181695583e-002
2.46603933723429e+003	3.10841784598616e+001,-9.93995266018940e-002
2.47172414501608e+003	3.10841770749124e+001,-9.96286620025839e-002
2.47742205763323e+003	3.10841756835460e+001,-9.98583255859294e-002
2.48313310529552e+003	3.10841742857575e+001,-1.00088518569301e-001
2.48885731828234e+003	3.10841728815405e+001,-1.00319242173120e-001
2.49459472694290e+003	3.10841714647809e+001,-1.00550497603105e-001
2.50034536169638e+003	3.10841700475569e+001,-1.00782286119229e-001
2.50610925303206e+003	3.10841686237778e+001,-1.01014608933039e-001
2.51188643150953e+003	3.10841671934732e+001,-1.01247467276388e-001
2.51767692775880e+003	3.10841657565184e+001,-1.01480862382989e-001
2.52348077248052e+003	3.10841643129284e+001,-1.01714795490377e-001
2.52929799644609e+003	3.10841628626857e+001,-1.01949267838472e-001
2.53512863049785e+003	3.10841614057583e+001,-1.02184280670218e-001
2.54097270554925e+003	3.10841599420809e+001,-1.02419835231202e-001
2.54683025258499e+003	3.10841584716805e+001,-1.02655932770231e-001
2.55270130266119e+003	3.10841569945020e+001,-1.02892574538712e-001
2.55858588690559e+003	3.10841555104553e+001,-1.03129761790623e-001
2.56448403651766e+003	3.10841540196033e+001,-1.03367495783821e-001
